Feature,Importance
Social_Activity_Index,0.12455615349853416
Daily_Usage_Time,0.12295213226115921
Age,0.12254362388191693
Likes_Received_Per_Day,0.1136008088930778
Engagement_Rate,0.11130249689543248
Comments_Received_Per_Day,0.10697166704047466
Messages_Sent_Per_Day,0.08897036753662105
Posts_Per_Day,0.04613432697479763
Platform_Twitter,0.028655990886212096
Gender_Non-binary,0.020392489453504033
Platform_Instagram,0.016129345398665156
Gender_Male,0.015229651441218326
Gender_Female,0.01505075437901097
Platform_Snapchat,0.014978979280517411
Platform_Facebook,0.01445601619297561
Platform_Whatsapp,0.0137759504778659
Platform_Telegram,0.013553828100782678
Platform_LinkedIn,0.010745417407233886
